500	300	300
1000	1800	500
1800	1300	800
500	1800	1000
400	800	1300
120	1800	1400
800	1400	1500
300	700	1700
1800	500	1800
700	1500	1900
1700	400	2200
400	700	2300
1100	1100	2500
1600	1300	3100
1600	1600	3200
200	700	3300
800	600	3400
1200	600	3400
1700	800	3600
400	400	3700
1200	200	3800
1600	200	3900
1600	1800	3900
1400	1200	4100
700	800	4200
1000	700	4500
1000	1300	4500
900	300	4700
1000	1900	5400
200	1900	5500
1200	1400	5600
600	700	5800
1700	1200	5800
1800	1300	5900
900	300	6100
1500	1000	6300
1200	1500	6300
1200	1200	6300
1200	800	6300
1200	500	6300
100	1200	6300
100	800	6300
800	1500	6300
800	1200	6300
800	800	6300
800	500	6300
500	1000	6300
1400	1400	6500
1100	500	6700
800	1700	6800
1800	1000	6900
100	1800	7100
300	500	7200
200	1600	7400
1200	1000	7500
1000	700	7600
1300	700	7700
800	700	7700
1000	1000	7700
1000	400	7700
1500	1800	7800
200	1000	7900
1600	1200	8000
1600	800	8000
1400	1200	8000
1400	800	8000
1200	1000	8000
1000	1000	8000
700	1200	8000
700	800	8000
500	1400	8000
500	600	8000
300	1000	8000
